date,strategyNormalized,nasdaqCompositeNormalized,sp500Normalized
2023-04-04,0.7529655,0.81808079,0.91777084
2023-04-05,0.72314107,0.80934635,0.91548341
2023-04-06,0.73918711,0.81549222,0.91876008
2023-04-10,0.73131297,0.81524938,0.91967544
2023-04-11,0.71244158,0.81170888,0.91963741
2023-04-12,0.68703043,0.8047912,0.91583481
2023-04-13,0.73826956,0.82077523,0.92798125
2023-04-14,0.73171255,0.81788782,0.92606091
2023-04-17,0.7291306,0.82019844,0.92912261
2023-04-18,0.72650425,0.8199077,0.92991722
2023-04-19,0.72394302,0.82016543,0.92983886
2023-04-20,0.70022677,0.81357624,0.92430395
2023-04-21,0.70122937,0.81444654,0.92513877
2023-04-24,0.69056449,0.81206781,0.9259266
2023-04-25,0.63820384,0.79600887,0.9112869
2023-04-26,0.65216645,0.79973212,0.90778648
2023-04-27,0.72159668,0.81915414,0.92554837
2023-04-28,0.74018442,0.82484397,0.9331871
2023-05-01,0.72949148,0.82390081,0.93282679
2023-05-02,0.69722603,0.81498961,0.92201882
2023-05-03,0.67709765,0.81126701,0.91556625
2023-05-04,0.66625598,0.80729143,0.90895702
2023-05-05,0.72203851,0.82543968,0.92574978
2023-05-08,0.71748344,0.8268908,0.92616833
2023-05-09,0.69753532,0.82167116,0.92192702
2023-05-10,0.72328998,0.83023161,0.92606091
2023-05-11,0.7313665,0.83172048,0.92448973
2023-05-12,0.7166434,0.82876764,0.92302598
2023-05-15,0.72911353,0.83419639,0.92575644
2023-05-16,0.72737384,0.83270139,0.91985226
2023-05-17,0.76322172,0.84332823,0.93079007
2023-05-18,0.82062836,0.85602949,0.93958142
2023-05-19,0.8041472,0.85394221,0.93822291
2023-05-22,0.81152864,0.85818429,0.93836837
2023-05-23,0.76891809,0.84735441,0.92783798
2023-05-24,0.75060444,0.84222115,0.9210475
2023-05-25,0.82858438,0.85665352,0.92911365
2023-05-26,0.91798839,0.87538134,0.94123773
2023-05-30,0.92780757,0.8781972,0.94125336
2023-05-31,0.90275139,0.8726558,0.9355036
2023-06-01,0.94470751,0.88383381,0.94472248
2023-06-02,0.97208543,0.89326442,0.95845347
2023-06-05,0.969214,0.8924994,0.95653313
2023-06-06,0.96674623,0.89566951,0.95878471
2023-06-07,0.92037606,0.88409826,0.95512982
2023-06-08,0.9528359,0.89311263,0.96104077
2023-06-09,0.96244551,0.89450373,0.96214411
2023-06-12,1.00645753,0.90818393,0.97111239
2023-06-13,1.02580975,0.91569935,0.97784462
2023-06-14,1.04282592,0.91928571,0.97864589
2023-06-15,1.07821838,0.92983289,0.99056398
2023-06-16,1.05751047,0.92354195,0.986927
2023-06-20,1.04769808,0.92203885,0.9822538
2023-06-21,1.00613948,0.91090136,0.9771016
2023-06-22,1.03976484,0.91956432,0.98072743
2023-06-23,1.00942716,0.91024828,0.97321622
2023-06-26,0.96800418,0.89967415,0.96884956
2023-06-27,1.01600416,0.9145086,0.97994856
2023-06-28,1.02106809,0.91694268,0.97960158
2023-06-29,1.01282798,0.91691435,0.98398387
2023-06-30,1.05920818,0.93017693,0.99605637
2023-07-03,1.06430431,0.93212321,0.99722244
2023-07-05,1.06286191,0.9304286,0.99525958
2023-07-06,1.03818931,0.92283154,0.98737463
2023-07-07,1.02728521,0.9215956,0.9845457
2023-07-10,1.02568101,0.92326603,0.98691356
2023-07-11,1.03301551,0.9283406,0.99356754
2023-07-12,1.05231509,0.9390173,1.0009311
2023-07-13,1.0795881,0.95383292,1.00940914
2023-07-14,1.07893201,0.9521551,1.00837509
2023-07-17,1.09367026,0.96100964,1.01226277
2023-07-18,1.10716827,0.96834218,1.01946732
2023-07-19,1.10643248,0.96863766,1.02187113
2023-07-20,1.06669066,0.94875559,1.01496645
2023-07-21,1.06669066,0.94669796,1.0152954
2023-07-24,1.06669066,0.94845609,1.01939126
2023-07-25,1.06669066,0.95423697,1.02226051
2023-07-26,1.06669066,0.95307125,1.02210161
2023-07-27,1.06669066,0.94786513,1.01553495
2023-07-28,1.06669066,0.96584742,1.02556624
2023-07-31,1.06669066,0.9678281,1.02707251
2023-08-01,1.06669066,0.963638,1.02433527
2023-08-02,1.06669066,0.94269339,1.01015894
2023-08-03,1.06669066,0.94176709,1.00758508
2023-08-04,1.06669066,0.93836158,1.0022448
2023-08-07,1.06669066,0.94410676,1.01128915
2023-08-08,1.06669066,0.9366804,1.00702325
2023-08-09,1.06669066,0.92573108,0.99993509
2023-08-10,1.06669066,0.92680851,1.00018578
2023-08-11,1.06669066,0.92052495,0.99911589
2023-08-14,1.06669066,0.9302046,1.00486128
2023-08-15,1.06669066,0.91959397,0.99325422
2023-08-16,1.06669066,0.90904138,0.98574979
2023-08-17,1.06669066,0.89840243,0.97814679
2023-08-18,1.06669066,0.8966383,0.97800133
2023-08-21,1.06669066,0.91059034,0.98472919
2023-08-22,1.06669066,0.91114895,0.98199414
2023-08-23,1.06669066,0.92566434,0.99284014
2023-08-24,1.06669066,0.90832222,0.97947853
2023-08-25,1.06669066,0.9168685,0.98605863
2023-08-28,1.06669066,0.92459165,0.99223591
2023-08-29,1.06669066,0.94069038,1.00663158
2023-08-30,1.06669066,0.94578721,1.01049018
2023-08-31,1.06669066,0.94684369,1.00887649
2023-09-01,1.06669066,0.9466305,1.01069159
2023-09-05,1.06669066,0.94589789,1.00645257
2023-09-06,1.06669066,0.93588092,0.99943598
2023-09-07,1.06669066,0.9275398,0.99622653
2023-09-08,1.06669066,0.9283966,0.99764777
2023-09-11,1.06669066,0.9389451,1.00435541
2023-09-12,1.06669066,0.92921156,0.99863471
2023-09-13,1.06669066,0.9319087,0.99987465
2023-09-14,1.06669066,0.93949561,1.00830351
2023-09-15,1.06669066,0.92480754,0.99604293
2023-09-18,1.06669066,0.92493641,0.99676137
2023-09-19,1.06669066,0.92277423,0.99461732
2023-09-20,1.06669066,0.90867034,0.9852731
2023-09-21,1.06669066,0.89213178,0.9691137
2023-09-22,1.06669066,0.89131069,0.966889
2023-09-25,1.06669066,0.89532547,0.97077886
2023-09-26,1.06669066,0.8813127,0.95647488
2023-09-27,1.06669066,0.88328527,0.95669422
2023-09-28,1.06669066,0.89060035,0.96233218
2023-09-29,1.06669066,0.89181739,0.95972467
2023-10-02,1.06669066,0.89778445,0.95980084
2023-10-03,1.06669066,0.88103336,0.94660926
2023-10-04,1.06669066,0.89294331,0.95428603
2023-10-05,1.06669066,0.89185178,0.95304162
2023-10-06,1.06669066,0.9061209,0.9643017
2023-10-09,1.06669066,0.90968973,0.97038052
2023-10-10,1.06669066,0.91499231,0.97543425
2023-10-11,1.06669066,0.92152543,0.9796218
2023-10-12,1.06669066,0.91576003,0.97350266
2023-10-13,1.06669066,0.9044944,0.96861678
2023-10-16,1.06669066,0.91533911,0.97887867
2023-10-17,1.06669066,0.91302981,0.9787825
2023-10-18,1.06669066,0.89822501,0.96566699
2023-10-19,1.06669066,0.88958162,0.95747538
2023-10-20,1.06669066,0.87592908,0.94542528
2023-10-23,1.06669066,0.87825795,0.9438317
2023-10-24,1.06669066,0.88645743,0.95068939
2023-10-25,1.06669066,0.86496026,0.93705685
2023-10-26,1.06669066,0.84973993,0.92596911
2023-10-27,1.06669066,0.85293765,0.9215242
2023-10-30,1.06669066,0.86281903,0.93259172
2023-10-31,1.06669066,0.86698554,0.93863022
2023-11-01,1.06669066,0.88116829,0.94849146
2023-11-02,1.06669066,0.89686836,0.96637864
2023-11-03,1.06669066,0.90928765,0.97545655
2023-11-06,1.06669066,0.91201991,0.97716651
2023-11-07,1.06669066,0.92018836,0.97994178
2023-11-08,1.06669066,0.92090008,0.98092654
2023-11-09,1.06669066,0.91220003,0.97299689
2023-11-10,1.06669066,0.9308644,0.98819164
2023-11-13,1.06669066,0.92881554,0.98736567
2023-11-14,1.06669066,0.95085169,1.00619969
2023-11-15,1.06669066,0.95148989,1.0078066
2023-11-16,1.06669066,0.95215306,1.00900632
2023-11-17,1.06669066,0.95294983,1.01029991
2023-11-20,1.06669066,0.96367984,1.01776631
2023-11-21,1.06669066,0.95797584,1.01570948
